token,metric,F,P,R,params
0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,logReturns,0.13702774909662774,0.07783251231527094,0.5722517730496455,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x4fabb145d64652a948d72533023f6e7a623c7c53,logReturns,0.0,0.0,0.0,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,logReturns,0.13672363484785327,0.10256410256410256,0.205,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x853d955acef822db058eb8505911ed77f175b99e,logReturns,0.0023693418188831038,0.0011862396204033216,0.8958333333333334,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x674c6ad92fd080e4004b2312b45f796a192d27a0,logReturns,0.043466876145587856,0.022222222222222223,0.9880952380952381,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,logReturns,0.0,0.0,0.0,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0xbe9895146f7af43049ca1c1ae358b0541ea49704,logReturns,0.0,0.0,0.0,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0xdac17f958d2ee523a2206206994597c13d831ec7,logReturns,0.0,0.0,0.0,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x5f98805a4e8be255a32880fdec7f6728c6568ba0,logReturns,0.01184025916251269,0.005964214711729622,0.8009259259259259,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x57ab1ec28d129707052df4df418d58a2d46d5f51,logReturns,0.0,0.0,0.0,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x5e8422345238f34275888049021821e8e08caa1f,logReturns,0.0,0.0,0.0,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0xd533a949740bb3306d119cc777fa900ba034cd52,logReturns,0.09403675797668892,0.05002476473501734,0.7823624595469255,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0x6b175474e89094c44da98b954eedeac495271d0f,logReturns,0.007346780949925889,0.0036991368680641184,0.5277777777777778,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,logReturns,0.007876496534341524,0.003968253968253968,0.5208333333333334,"{'alpha': 0.0001, 'beta': 0.1, 'kappa': 1000}"
